old_url,new_url,reason
"/galleria-irana-tappeti/","/tappeti-persiani-milano/","Galleria sostituita dalla pagina selezione"
"/blog/","/tappeti-persiani-milano/","Archivio editoriale non mantenuto"
"/manutenzione/","/","Pagina tecnica obsoleta"
"/home-2/","/","Homepage duplicata"
"/tappeti-persiani/shab-e-yalda/","/tappeti-persiani-milano/","Contenuto storico sui tappeti"
"/irana-tappeti/un-villaggio-di-natale/","/","Contenuto aziendale storico"
"/irana-tappeti/natale-e-cinema-elenco-classici/","/","Contenuto aziendale storico"
"/tappeti-persiani/capodanno-2016/","/tappeti-persiani-milano/","Contenuto storico sui tappeti"
"/irana-tappeti/epifania-feste-natalizie/","/","Contenuto aziendale storico"
"/tappeti-persiani/le-origini-del-tappeto-nain/","/tappeti-persiani-milano/","Approfondimento su tappeti"
"/tappeti-persiani/i-meravigliosi-tappeti-tabriz/","/tappeti-persiani-milano/","Approfondimento su tappeti"
"/tappeti-persiani/isfahan-una-citta-ricca-di-storia/","/tappeti-persiani-milano/","Approfondimento su tappeti"
"/irana-tappeti/san-valentino-in-salsa-persiana/","/","Contenuto aziendale storico"
"/tappeti-persiani/kilim-storia-e-provenienza/","/tappeti-persiani-milano/","Approfondimento su tappeti"
"/tappeti-persiani/giornata-del-gatto/","/riparazione-tappeti/","Contenuto relativo a danni e riparazione"
"/tappeti-persiani/kashan-tappeti-del-deserto-persiano/","/tappeti-persiani-milano/","Approfondimento su tappeti"
"/tappeti-persiani/20-marzo-capodanno-persiano/","/tappeti-persiani-milano/","Contenuto culturale collegato ai tappeti"
"/irana-tappeti/21-marzo-1931-ricordando-alda-merini/","/","Contenuto aziendale storico"
"/milano/fuorisalone-2016-tappeti-moderni-di-alan-tamir/","/noleggio-tappeti-milano/","Contenuto relativo ad allestimenti"
"/irana-tappeti/tappeti-e-automobili-epoca-giornata-vintage/","/noleggio-tappeti-milano/","Contenuto relativo a eventi"
"/irana-tappeti/lanterne-volanti-cinisello-balsamo/","/","Contenuto locale storico"
"/irana-tappeti/mercato-europeo-2016/","/","Contenuto locale storico"
"/irana-tappeti/dont-go-iran-ironia-racconta-bellezze-paese/","/","Contenuto aziendale storico"
"/irana-tappeti/santambrogio-la-festa-milano/","/","Contenuto locale storico"
"/cinisello-balsamo/artigianato-di-forte-dei-marmi-a-cinisello-balsamo/","/","Contenuto locale storico"
"/irana-tappeti/manifattura-dei-tappeti-moderni-in-india/","/tappeti-persiani-milano/","Approfondimento su tappeti"
"/uncategorized/il-tappeto-e-tornato-di-moda/","/tappeti-persiani-milano/","Approfondimento su tappeti"
